order_id,customer_id,order_date,status,discount_amount,refund_amount
1,1,2024-01-10,completed,0.00,0.00
2,1,2024-02-14,completed,5.00,0.00
3,1,2024-03-22,shipped,0.00,0.00
4,2,2024-01-20,completed,10.00,0.00
5,2,2024-02-28,completed,0.00,0.00
6,2,2024-03-15,cancelled,0.00,17.00
7,3,2024-02-10,completed,5.00,0.00
8,3,2024-03-05,shipped,0.00,0.00
9,3,2024-04-01,pending,0.00,0.00
10,4,2024-02-25,completed,0.00,0.00
11,4,2024-03-10,completed,10.00,0.00
12,4,2024-04-05,shipped,0.00,0.00
13,5,2024-03-12,completed,5.00,0.00
14,5,2024-04-02,completed,0.00,0.00
15,5,2024-04-10,pending,0.00,0.00
